Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
490.00	1.0000	0.024542	40.747	324.29	451.63	6.8773	0.70873	0.96897	417.29	0.080527	29.963	0.041944	vapor
500.00	1.0000	0.024050	41.579	331.39	461.33	6.8969	0.71193	0.97215	421.27	0.075388	30.410	0.042750	vapor
510.00	1.0000	0.023579	42.411	338.53	471.07	6.9162	0.71513	0.97533	425.21	0.070505	30.852	0.043555	vapor
520.00	1.0000	0.023125	43.243	345.70	480.84	6.9351	0.71832	0.97851	429.10	0.065864	31.291	0.044359	vapor
530.00	1.0000	0.022688	44.075	352.90	490.64	6.9538	0.72150	0.98167	432.95	0.061448	31.725	0.045162	vapor
540.00	1.0000	0.022268	44.907	360.13	500.47	6.9722	0.72467	0.98483	436.77	0.057244	32.157	0.045963	vapor
550.00	1.0000	0.021863	45.739	367.40	510.34	6.9903	0.72782	0.98796	440.54	0.053239	32.584	0.046764	vapor
560.00	1.0000	0.021473	46.571	374.69	520.23	7.0081	0.73095	0.99108	444.28	0.049421	33.008	0.047562	vapor
570.00	1.0000	0.021096	47.403	382.02	530.16	7.0257	0.73405	0.99417	447.98	0.045778	33.429	0.048359	vapor
580.00	1.0000	0.020732	48.235	389.38	540.12	7.0430	0.73712	0.99723	451.64	0.042300	33.846	0.049154	vapor
