Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
1630.0	1.0000	0.0073769	135.56	1359.3	1843.2	8.7384	0.96003	1.2568	796.03	-0.082054	57.038	0.096167	vapor
1640.0	1.0000	0.0073319	136.39	1368.9	1855.8	8.7461	0.96093	1.2577	798.38	-0.082218	57.264	0.096606	vapor
1650.0	1.0000	0.0072875	137.22	1378.5	1868.3	8.7538	0.96183	1.2586	800.72	-0.082379	57.490	0.097045	vapor
1660.0	1.0000	0.0072436	138.05	1388.1	1880.9	8.7614	0.96272	1.2595	803.05	-0.082537	57.716	0.097482	vapor
1670.0	1.0000	0.0072003	138.88	1397.7	1893.5	8.7689	0.96359	1.2604	805.38	-0.082692	57.941	0.097918	vapor
1680.0	1.0000	0.0071574	139.72	1407.4	1906.1	8.7765	0.96445	1.2613	807.70	-0.082843	58.165	0.098354	vapor
1690.0	1.0000	0.0071151	140.55	1417.0	1918.7	8.7839	0.96531	1.2621	810.02	-0.082992	58.389	0.098788	vapor
1700.0	1.0000	0.0070732	141.38	1426.7	1931.4	8.7914	0.96615	1.2630	812.32	-0.083138	58.613	0.099222	vapor
1710.0	1.0000	0.0070319	142.21	1436.4	1944.0	8.7988	0.96698	1.2638	814.63	-0.083282	58.836	0.099654	vapor
1720.0	1.0000	0.0069910	143.04	1446.0	1956.7	8.8062	0.96780	1.2646	816.92	-0.083422	59.059	0.10009	vapor
1730.0	1.0000	0.0069506	143.87	1455.7	1969.3	8.8135	0.96862	1.2654	819.21	-0.083560	59.282	0.10052	vapor
1740.0	1.0000	0.0069107	144.70	1465.4	1982.0	8.8208	0.96942	1.2662	821.50	-0.083696	59.504	0.10095	vapor
1750.0	1.0000	0.0068712	145.54	1475.1	1994.6	8.8281	0.97021	1.2670	823.77	-0.083829	59.726	0.10138	vapor
